datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-03-05T14:45:00+00:00,PT15M,Wind Onshore,2.76,4389.42
2025-03-05T14:45:00+00:00,PT15M,Wind Offshore,64.23,4389.42
2025-03-05T14:45:00+00:00,PT15M,Water,0.59,4389.42
2025-03-05T14:45:00+00:00,PT15M,Solar,41.01,4389.42
2025-03-05T14:45:00+00:00,PT15M,Other Fuel,0,4389.42
2025-03-05T14:45:00+00:00,PT15M,Other,323.93,4389.42
2025-03-05T14:45:00+00:00,PT15M,Nuclear,3480.57,4389.42
2025-03-05T14:45:00+00:00,PT15M,Natural Gas,476.33,4389.42
2025-03-05T14:45:00+00:00,PT15M,Biofuels,0,4389.42
2025-03-05T14:30:00+00:00,PT15M,Wind Onshore,2.4,4331.66
2025-03-05T14:30:00+00:00,PT15M,Wind Offshore,78.33,4331.66
2025-03-05T14:30:00+00:00,PT15M,Water,0.58,4331.66
2025-03-05T14:30:00+00:00,PT15M,Solar,45.69,4331.66
2025-03-05T14:30:00+00:00,PT15M,Other Fuel,0,4331.66
2025-03-05T14:30:00+00:00,PT15M,Other,302.05,4331.66
2025-03-05T14:30:00+00:00,PT15M,Nuclear,3480.54,4331.66
2025-03-05T14:30:00+00:00,PT15M,Natural Gas,422.07,4331.66
2025-03-05T14:30:00+00:00,PT15M,Biofuels,0,4331.66
2025-03-05T14:15:00+00:00,PT15M,Wind Onshore,2.27,4324.23
2025-03-05T14:15:00+00:00,PT15M,Wind Offshore,89.64,4324.23
2025-03-05T14:15:00+00:00,PT15M,Water,0.57,4324.23
2025-03-05T14:15:00+00:00,PT15M,Solar,49.95,4324.23
2025-03-05T14:15:00+00:00,PT15M,Other Fuel,0,4324.23
2025-03-05T14:15:00+00:00,PT15M,Other,315.5,4324.23
2025-03-05T14:15:00+00:00,PT15M,Nuclear,3481.12,4324.23
2025-03-05T14:15:00+00:00,PT15M,Natural Gas,385.18,4324.23
2025-03-05T14:15:00+00:00,PT15M,Biofuels,0,4324.23
2025-03-05T14:00:00+00:00,PT15M,Wind Onshore,3.04,4279.72
2025-03-05T14:00:00+00:00,PT15M,Wind Offshore,100.89,4279.72
2025-03-05T14:00:00+00:00,PT15M,Water,0.55,4279.72
2025-03-05T14:00:00+00:00,PT15M,Solar,45.85,4279.72
2025-03-05T14:00:00+00:00,PT15M,Other Fuel,0,4279.72
2025-03-05T14:00:00+00:00,PT15M,Other,278.26,4279.72
2025-03-05T14:00:00+00:00,PT15M,Nuclear,3482.04,4279.72
2025-03-05T14:00:00+00:00,PT15M,Natural Gas,369.09,4279.72
2025-03-05T14:00:00+00:00,PT15M,Biofuels,0,4279.72
2025-03-05T13:45:00+00:00,PT15M,Wind Onshore,5.27,4285.65
2025-03-05T13:45:00+00:00,PT15M,Wind Offshore,105.75,4285.65
2025-03-05T13:45:00+00:00,PT15M,Water,0.58,4285.65
2025-03-05T13:45:00+00:00,PT15M,Solar,57.46,4285.65
2025-03-05T13:45:00+00:00,PT15M,Other Fuel,0,4285.65
2025-03-05T13:45:00+00:00,PT15M,Other,266.58,4285.65
2025-03-05T13:45:00+00:00,PT15M,Nuclear,3481.26,4285.65
2025-03-05T13:45:00+00:00,PT15M,Natural Gas,368.75,4285.65
2025-03-05T13:45:00+00:00,PT15M,Biofuels,0,4285.65
2025-03-05T13:30:00+00:00,PT15M,Wind Onshore,6.05,4300.8
2025-03-05T13:30:00+00:00,PT15M,Wind Offshore,120.14,4300.8
2025-03-05T13:30:00+00:00,PT15M,Water,0.58,4300.8
2025-03-05T13:30:00+00:00,PT15M,Solar,60.31,4300.8
2025-03-05T13:30:00+00:00,PT15M,Other Fuel,0,4300.8
2025-03-05T13:30:00+00:00,PT15M,Other,263.03,4300.8
2025-03-05T13:30:00+00:00,PT15M,Nuclear,3481.56,4300.8
2025-03-05T13:30:00+00:00,PT15M,Natural Gas,369.13,4300.8
2025-03-05T13:30:00+00:00,PT15M,Biofuels,0,4300.8
2025-03-05T13:15:00+00:00,PT15M,Wind Onshore,8.09,4290.26
